source_id,source_type,source_name,doi,salt,temperature_c,concentration,concentration_unit,solvent_a,ratio_a,solvent_b,ratio_b,solvent_c,ratio_c,solvent_ratio_basis,component_count,solubility_mole_fraction,fully_dissolved,conductivity,conductivity_unit,viscosity_mpas,phase_stable_24h,phase_stable_7d,relative_uncertainty,notes
CALiSol-23:13232,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,0.2,mol/l,PC,100.0,,,,,v,1,,True,0.65,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13233,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,PC,100.0,,,,,v,1,,True,0.51,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13239,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,0.2,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13240,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,0.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13241,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13242,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13243,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,2.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13476,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,0.75,mol/l,TEOS,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13477,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,THF,100.0,,,,,v,1,,True,7.48,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13478,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,3-Glyme,100.0,,,,,v,1,,True,0.42,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12295,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,2-MeTHF,100.0,,,,,v,1,,True,2.04,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12593,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,3-Me-2-Oxazolidinone,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12594,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,3-MeSulfolane,100.0,,,,,v,1,,True,0.05,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12600,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,g-Butyrolactone,100.0,,,,,v,1,,True,3.71,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12619,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,DMF,100.0,,,,,v,1,,True,8.55,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12928,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,EC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13255,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,0.2,mol/l,PC,100.0,,,,,v,1,,True,0.93,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13256,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,PC,100.0,,,,,v,1,,True,1.02,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13262,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,0.2,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13263,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,0.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13264,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13265,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13266,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,2.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13495,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,0.75,mol/l,TEOS,100.0,,,,,v,1,,True,0.11,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13496,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,THF,100.0,,,,,v,1,,True,8.18,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13497,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-20.0,1.0,mol/l,3-Glyme,100.0,,,,,v,1,,True,0.72,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12320,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-10.0,1.0,mol/l,2-MeTHF,100.0,,,,,v,1,,True,2.22,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
